,max_samples,contamination,n_estimators,max_features,precision,recall,f1
0,auto,0.01,50,0.1,0.0,0.0,0.0
1,auto,0.01,100,0.1,0.0,0.0,0.0
2,auto,0.01,200,0.1,0.0,0.0,0.0
3,4,0.01,50,0.1,0.0,0.0,0.0
4,4,0.01,100,0.1,0.0,0.0,0.0
5,4,0.01,200,0.1,0.0,0.0,0.0
6,12,0.01,50,0.1,0.0,0.0,0.0
7,12,0.01,100,0.1,0.0,0.0,0.0
8,12,0.01,200,0.1,0.0,0.0,0.0
9,16,0.01,50,0.1,0.0,0.0,0.0
10,16,0.01,100,0.1,0.0,0.0,0.0
11,16,0.01,200,0.1,0.0,0.0,0.0
12,24,0.01,50,0.1,0.0,0.0,0.0
13,24,0.01,100,0.1,0.0,0.0,0.0
14,24,0.01,200,0.1,0.0,0.0,0.0
15,auto,0.01,50,0.5,0.0,0.0,0.0
16,auto,0.01,100,0.5,0.0,0.0,0.0
17,auto,0.01,200,0.5,0.0,0.0,0.0
18,4,0.01,50,0.5,1.0,0.16666666666666666,0.2857142857142857
19,4,0.01,100,0.5,0.0,0.0,0.0
20,4,0.01,200,0.5,1.0,0.16666666666666666,0.2857142857142857
21,12,0.01,50,0.5,0.0,0.0,0.0
22,12,0.01,100,0.5,0.0,0.0,0.0
23,12,0.01,200,0.5,0.0,0.0,0.0
24,16,0.01,50,0.5,0.0,0.0,0.0
25,16,0.01,100,0.5,0.0,0.0,0.0
26,16,0.01,200,0.5,0.0,0.0,0.0
27,24,0.01,50,0.5,0.0,0.0,0.0
28,24,0.01,100,0.5,0.0,0.0,0.0
29,24,0.01,200,0.5,0.0,0.0,0.0
30,auto,0.01,50,1.0,0.0,0.0,0.0
31,auto,0.01,100,1.0,0.0,0.0,0.0
32,auto,0.01,200,1.0,0.0,0.0,0.0
33,4,0.01,50,1.0,0.0,0.0,0.0
34,4,0.01,100,1.0,0.0,0.0,0.0
35,4,0.01,200,1.0,0.0,0.0,0.0
36,12,0.01,50,1.0,0.0,0.0,0.0
37,12,0.01,100,1.0,0.0,0.0,0.0
38,12,0.01,200,1.0,0.0,0.0,0.0
39,16,0.01,50,1.0,0.0,0.0,0.0
40,16,0.01,100,1.0,0.0,0.0,0.0
41,16,0.01,200,1.0,0.0,0.0,0.0
42,24,0.01,50,1.0,0.0,0.0,0.0
43,24,0.01,100,1.0,0.0,0.0,0.0
44,24,0.01,200,1.0,0.0,0.0,0.0
45,auto,0.03,50,0.1,0.0,0.0,0.0
46,auto,0.03,100,0.1,0.0,0.0,0.0
47,auto,0.03,200,0.1,0.0,0.0,0.0
48,4,0.03,50,0.1,0.0,0.0,0.0
49,4,0.03,100,0.1,0.0,0.0,0.0
50,4,0.03,200,0.1,0.0,0.0,0.0
51,12,0.03,50,0.1,0.0,0.0,0.0
52,12,0.03,100,0.1,0.0,0.0,0.0
53,12,0.03,200,0.1,0.0,0.0,0.0
54,16,0.03,50,0.1,0.0,0.0,0.0
55,16,0.03,100,0.1,0.0,0.0,0.0
56,16,0.03,200,0.1,0.0,0.0,0.0
57,24,0.03,50,0.1,0.0,0.0,0.0
58,24,0.03,100,0.1,0.0,0.0,0.0
59,24,0.03,200,0.1,0.0,0.0,0.0
60,auto,0.03,50,0.5,0.0,0.0,0.0
61,auto,0.03,100,0.5,0.0,0.0,0.0
62,auto,0.03,200,0.5,0.0,0.0,0.0
63,4,0.03,50,0.5,1.0,0.16666666666666666,0.2857142857142857
64,4,0.03,100,0.5,0.0,0.0,0.0
65,4,0.03,200,0.5,1.0,0.16666666666666666,0.2857142857142857
66,12,0.03,50,0.5,0.0,0.0,0.0
67,12,0.03,100,0.5,0.0,0.0,0.0
68,12,0.03,200,0.5,0.0,0.0,0.0
