,n_neighbors,algorithm,leaf_size,metric,contamination,precision,recall,f1
0,1,auto,5,euclidean,auto,0.25,0.16666666666666666,0.2
1,3,auto,5,euclidean,auto,0.5,0.3333333333333333,0.4
2,5,auto,5,euclidean,auto,0.6666666666666666,0.6666666666666666,0.6666666666666666
3,7,auto,5,euclidean,auto,0.6,0.5,0.5454545454545454
4,9,auto,5,euclidean,auto,0.5,0.3333333333333333,0.4
5,12,auto,5,euclidean,auto,0.3333333333333333,0.16666666666666666,0.2222222222222222
6,18,auto,5,euclidean,auto,0.0,0.0,0.0
7,1,auto,5,manhattan,auto,0.2,0.16666666666666666,0.18181818181818182
8,3,auto,5,manhattan,auto,0.3333333333333333,0.16666666666666666,0.2222222222222222
9,5,auto,5,manhattan,auto,0.6,0.5,0.5454545454545454
10,7,auto,5,manhattan,auto,0.5,0.3333333333333333,0.4
11,9,auto,5,manhattan,auto,0.5,0.3333333333333333,0.4
12,12,auto,5,manhattan,auto,0.3333333333333333,0.16666666666666666,0.2222222222222222
13,18,auto,5,manhattan,auto,0.0,0.0,0.0
14,1,auto,10,euclidean,auto,0.25,0.16666666666666666,0.2
15,3,auto,10,euclidean,auto,0.5,0.3333333333333333,0.4
16,5,auto,10,euclidean,auto,0.6666666666666666,0.6666666666666666,0.6666666666666666
17,7,auto,10,euclidean,auto,0.6,0.5,0.5454545454545454
18,9,auto,10,euclidean,auto,0.5,0.3333333333333333,0.4
19,12,auto,10,euclidean,auto,0.3333333333333333,0.16666666666666666,0.2222222222222222
20,18,auto,10,euclidean,auto,0.0,0.0,0.0
21,1,auto,10,manhattan,auto,0.2,0.16666666666666666,0.18181818181818182
22,3,auto,10,manhattan,auto,0.3333333333333333,0.16666666666666666,0.2222222222222222
23,5,auto,10,manhattan,auto,0.6,0.5,0.5454545454545454
24,7,auto,10,manhattan,auto,0.5,0.3333333333333333,0.4
25,9,auto,10,manhattan,auto,0.5,0.3333333333333333,0.4
26,12,auto,10,manhattan,auto,0.3333333333333333,0.16666666666666666,0.2222222222222222
27,18,auto,10,manhattan,auto,0.0,0.0,0.0
28,1,auto,15,euclidean,auto,0.25,0.16666666666666666,0.2
29,3,auto,15,euclidean,auto,0.5,0.3333333333333333,0.4
30,5,auto,15,euclidean,auto,0.6666666666666666,0.6666666666666666,0.6666666666666666
31,7,auto,15,euclidean,auto,0.6,0.5,0.5454545454545454
32,9,auto,15,euclidean,auto,0.5,0.3333333333333333,0.4
33,12,auto,15,euclidean,auto,0.3333333333333333,0.16666666666666666,0.2222222222222222
34,18,auto,15,euclidean,auto,0.0,0.0,0.0
35,1,auto,15,manhattan,auto,0.2,0.16666666666666666,0.18181818181818182
36,3,auto,15,manhattan,auto,0.3333333333333333,0.16666666666666666,0.2222222222222222
37,5,auto,15,manhattan,auto,0.6,0.5,0.5454545454545454
38,7,auto,15,manhattan,auto,0.5,0.3333333333333333,0.4
39,9,auto,15,manhattan,auto,0.5,0.3333333333333333,0.4
40,12,auto,15,manhattan,auto,0.3333333333333333,0.16666666666666666,0.2222222222222222
41,18,auto,15,manhattan,auto,0.0,0.0,0.0
42,1,auto,30,euclidean,auto,0.25,0.16666666666666666,0.2
43,3,auto,30,euclidean,auto,0.5,0.3333333333333333,0.4
44,5,auto,30,euclidean,auto,0.6666666666666666,0.6666666666666666,0.6666666666666666
45,7,auto,30,euclidean,auto,0.6,0.5,0.5454545454545454
46,9,auto,30,euclidean,auto,0.5,0.3333333333333333,0.4
47,12,auto,30,euclidean,auto,0.3333333333333333,0.16666666666666666,0.2222222222222222
48,18,auto,30,euclidean,auto,0.0,0.0,0.0
49,1,auto,30,manhattan,auto,0.2,0.16666666666666666,0.18181818181818182
50,3,auto,30,manhattan,auto,0.3333333333333333,0.16666666666666666,0.2222222222222222
51,5,auto,30,manhattan,auto,0.6,0.5,0.5454545454545454
52,7,auto,30,manhattan,auto,0.5,0.3333333333333333,0.4
53,9,auto,30,manhattan,auto,0.5,0.3333333333333333,0.4
54,12,auto,30,manhattan,auto,0.3333333333333333,0.16666666666666666,0.2222222222222222
55,18,auto,30,manhattan,auto,0.0,0.0,0.0
56,1,auto,50,euclidean,auto,0.25,0.16666666666666666,0.2
57,3,auto,50,euclidean,auto,0.5,0.3333333333333333,0.4
58,5,auto,50,euclidean,auto,0.6666666666666666,0.6666666666666666,0.6666666666666666
59,7,auto,50,euclidean,auto,0.6,0.5,0.5454545454545454
60,9,auto,50,euclidean,auto,0.5,0.3333333333333333,0.4
61,12,auto,50,euclidean,auto,0.3333333333333333,0.16666666666666666,0.2222222222222222
62,18,auto,50,euclidean,auto,0.0,0.0,0.0
63,1,auto,50,manhattan,auto,0.2,0.16666666666666666,0.18181818181818182
64,3,auto,50,manhattan,auto,0.3333333333333333,0.16666666666666666,0.2222222222222222
65,5,auto,50,manhattan,auto,0.6,0.5,0.5454545454545454
66,7,auto,50,manhattan,auto,0.5,0.3333333333333333,0.4
67,9,auto,50,manhattan,auto,0.5,0.3333333333333333,0.4
68,12,auto,50,manhattan,auto,0.3333333333333333,0.16666666666666666,0.2222222222222222
69,18,auto,50,manhattan,auto,0.0,0.0,0.0
70,1,auto,100,euclidean,auto,0.25,0.16666666666666666,0.2
71,3,auto,100,euclidean,auto,0.5,0.3333333333333333,0.4
72,5,auto,100,euclidean,auto,0.6666666666666666,0.6666666666666666,0.6666666666666666
73,7,auto,100,euclidean,auto,0.6,0.5,0.5454545454545454
74,9,auto,100,euclidean,auto,0.5,0.3333333333333333,0.4
75,12,auto,100,euclidean,auto,0.3333333333333333,0.16666666666666666,0.2222222222222222
76,18,auto,100,euclidean,auto,0.0,0.0,0.0
77,1,auto,100,manhattan,auto,0.2,0.16666666666666666,0.18181818181818182
78,3,auto,100,manhattan,auto,0.3333333333333333,0.16666666666666666,0.2222222222222222
79,5,auto,100,manhattan,auto,0.6,0.5,0.5454545454545454
80,7,auto,100,manhattan,auto,0.5,0.3333333333333333,0.4
81,9,auto,100,manhattan,auto,0.5,0.3333333333333333,0.4
82,12,auto,100,manhattan,auto,0.3333333333333333,0.16666666666666666,0.2222222222222222
83,18,auto,100,manhattan,auto,0.0,0.0,0.0
84,1,auto,200,euclidean,auto,0.25,0.16666666666666666,0.2
85,3,auto,200,euclidean,auto,0.5,0.3333333333333333,0.4
86,5,auto,200,euclidean,auto,0.6666666666666666,0.6666666666666666,0.6666666666666666
87,7,auto,200,euclidean,auto,0.6,0.5,0.5454545454545454
88,9,auto,200,euclidean,auto,0.5,0.3333333333333333,0.4
89,12,auto,200,euclidean,auto,0.3333333333333333,0.16666666666666666,0.2222222222222222
90,18,auto,200,euclidean,auto,0.0,0.0,0.0
91,1,auto,200,manhattan,auto,0.2,0.16666666666666666,0.18181818181818182
92,3,auto,200,manhattan,auto,0.3333333333333333,0.16666666666666666,0.2222222222222222
93,5,auto,200,manhattan,auto,0.6,0.5,0.5454545454545454
94,7,auto,200,manhattan,auto,0.5,0.3333333333333333,0.4
95,9,auto,200,manhattan,auto,0.5,0.3333333333333333,0.4
96,12,auto,200,manhattan,auto,0.3333333333333333,0.16666666666666666,0.2222222222222222
97,18,auto,200,manhattan,auto,0.0,0.0,0.0
98,1,auto,300,euclidean,auto,0.25,0.16666666666666666,0.2
99,3,auto,300,euclidean,auto,0.5,0.3333333333333333,0.4
100,5,auto,300,euclidean,auto,0.6666666666666666,0.6666666666666666,0.6666666666666666
101,7,auto,300,euclidean,auto,0.6,0.5,0.5454545454545454
102,9,auto,300,euclidean,auto,0.5,0.3333333333333333,0.4
103,12,auto,300,euclidean,auto,0.3333333333333333,0.16666666666666666,0.2222222222222222
104,18,auto,300,euclidean,auto,0.0,0.0,0.0
105,1,auto,300,manhattan,auto,0.2,0.16666666666666666,0.18181818181818182
106,3,auto,300,manhattan,auto,0.3333333333333333,0.16666666666666666,0.2222222222222222
107,5,auto,300,manhattan,auto,0.6,0.5,0.5454545454545454
108,7,auto,300,manhattan,auto,0.5,0.3333333333333333,0.4
109,9,auto,300,manhattan,auto,0.5,0.3333333333333333,0.4
110,12,auto,300,manhattan,auto,0.3333333333333333,0.16666666666666666,0.2222222222222222
111,18,auto,300,manhattan,auto,0.0,0.0,0.0
112,1,auto,5,euclidean,0.01,0.0,0.0,0.0
113,3,auto,5,euclidean,0.01,0.0,0.0,0.0
114,5,auto,5,euclidean,0.01,0.0,0.0,0.0
115,7,auto,5,euclidean,0.01,0.0,0.0,0.0
116,9,auto,5,euclidean,0.01,0.0,0.0,0.0
117,12,auto,5,euclidean,0.01,0.0,0.0,0.0
118,18,auto,5,euclidean,0.01,0.0,0.0,0.0
119,1,auto,5,manhattan,0.01,0.0,0.0,0.0
120,3,auto,5,manhattan,0.01,0.0,0.0,0.0
121,5,auto,5,manhattan,0.01,0.0,0.0,0.0
122,7,auto,5,manhattan,0.01,0.0,0.0,0.0
123,9,auto,5,manhattan,0.01,0.0,0.0,0.0
124,12,auto,5,manhattan,0.01,0.0,0.0,0.0
125,18,auto,5,manhattan,0.01,0.0,0.0,0.0
126,1,auto,10,euclidean,0.01,0.0,0.0,0.0
127,3,auto,10,euclidean,0.01,0.0,0.0,0.0
128,5,auto,10,euclidean,0.01,0.0,0.0,0.0
129,7,auto,10,euclidean,0.01,0.0,0.0,0.0
130,9,auto,10,euclidean,0.01,0.0,0.0,0.0
131,12,auto,10,euclidean,0.01,0.0,0.0,0.0
132,18,auto,10,euclidean,0.01,0.0,0.0,0.0
133,1,auto,10,manhattan,0.01,0.0,0.0,0.0
134,3,auto,10,manhattan,0.01,0.0,0.0,0.0
135,5,auto,10,manhattan,0.01,0.0,0.0,0.0
136,7,auto,10,manhattan,0.01,0.0,0.0,0.0
137,9,auto,10,manhattan,0.01,0.0,0.0,0.0
138,12,auto,10,manhattan,0.01,0.0,0.0,0.0
139,18,auto,10,manhattan,0.01,0.0,0.0,0.0
140,1,auto,15,euclidean,0.01,0.0,0.0,0.0
