corpus,Morpheme TTR,Avg Segs Per Word,Avg Forms Per Stem
eo,7.534506556245686,1.8594278090720426,3.5059449176358686
nl,12.467050221193297,1.8093577879569016,3.0439936281859072
is,9.847294938917976,1.9309304025337701,4.127871537096848
pl,6.639226914817466,1.8938969138105646,3.709114414996768
fr,7.1087562436184015,1.771412160149768,2.758992281928062
vo,15.287133234387488,1.5665696734561914,1.93779443254818
af,13.894053415965764,1.770099275312933,2.861301840153804
vi,27.4385408406027,1.343681917211329,1.4531081566654689
oc,7.673660453063613,1.7933853257627643,2.805463326290371
en,10.049416880806483,1.6608257383856058,2.3595076856927872
it,7.918883303235883,1.7650659748791548,2.9389609160594303
ia,8.904215031250962,1.7500230712440015,2.7151079896498915
sv,9.495526652131419,1.9572925060435133,4.0740963298511605
lfn,9.769248343614349,1.6884169520278973,2.448091047442599
da,10.258875004143327,1.9110611388641543,3.7756923360014722
hu,6.239732457169678,2.000264012203231,5.070695008359207
id,12.993312611848923,1.5835941360566628,2.047506289773568
tl,11.829745025964176,1.7173467681244252,2.563206858810653
tr,6.804630892222133,1.842579352121874,3.9318021478404015
io,13.023522662076878,1.6452254335260115,2.208318890814558
es,8.130539170643507,1.7564697183571956,2.7524803906290582
fi,8.805899914371013,2.0083529713712407,5.037280428553632
de,9.025545254452078,1.981440276432554,4.356391314081039
avk,9.611409673418768,1.7692659183470747,2.82712552518529
