,kernel,degree,coef0,gamma,nu,precision,recall,f1
0,linear,0,0.0,scale,0.01,0.2,0.5,0.2857142857142857
1,linear,0,0.0,scale,0.05,0.2857142857142857,0.6666666666666666,0.4
2,linear,0,0.0,scale,0.1,0.08333333333333333,0.16666666666666666,0.1111111111111111
3,linear,0,0.0,scale,0.2,0.125,0.3333333333333333,0.18181818181818182
4,linear,0,0.0,scale,0.25,0.23076923076923078,0.5,0.3157894736842105
5,linear,0,0.0,scale,0.5,0.23076923076923078,0.5,0.3157894736842105
6,poly,0,0.0,scale,0.01,0.25,1.0,0.4
7,poly,0,0.0,scale,0.05,0.25,1.0,0.4
8,poly,0,0.0,scale,0.1,0.25,1.0,0.4
9,poly,0,0.0,scale,0.2,0.25,1.0,0.4
10,poly,0,0.0,scale,0.25,0.25,1.0,0.4
11,poly,0,0.0,scale,0.5,0.25,1.0,0.4
12,rbf,0,0.0,scale,0.01,0.4444444444444444,0.6666666666666666,0.5333333333333333
13,rbf,0,0.0,scale,0.05,0.4444444444444444,0.6666666666666666,0.5333333333333333
14,rbf,0,0.0,scale,0.1,0.2222222222222222,0.3333333333333333,0.26666666666666666
15,rbf,0,0.0,scale,0.2,0.0,0.0,0.0
16,rbf,0,0.0,scale,0.25,0.3,0.5,0.375
17,rbf,0,0.0,scale,0.5,0.25,0.5,0.3333333333333333
18,sigmoid,0,0.0,scale,0.01,0.0,0.0,0.0
19,sigmoid,0,0.0,scale,0.05,0.0,0.0,0.0
20,sigmoid,0,0.0,scale,0.1,0.5,0.16666666666666666,0.25
21,sigmoid,0,0.0,scale,0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333
22,sigmoid,0,0.0,scale,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333
23,sigmoid,0,0.0,scale,0.5,0.2857142857142857,0.6666666666666666,0.4
24,linear,0,0.0,auto,0.01,0.2,0.5,0.2857142857142857
25,linear,0,0.0,auto,0.05,0.2857142857142857,0.6666666666666666,0.4
26,linear,0,0.0,auto,0.1,0.08333333333333333,0.16666666666666666,0.1111111111111111
27,linear,0,0.0,auto,0.2,0.125,0.3333333333333333,0.18181818181818182
28,linear,0,0.0,auto,0.25,0.23076923076923078,0.5,0.3157894736842105
29,linear,0,0.0,auto,0.5,0.23076923076923078,0.5,0.3157894736842105
30,poly,0,0.0,auto,0.01,0.25,1.0,0.4
31,poly,0,0.0,auto,0.05,0.25,1.0,0.4
32,poly,0,0.0,auto,0.1,0.25,1.0,0.4
33,poly,0,0.0,auto,0.2,0.25,1.0,0.4
34,poly,0,0.0,auto,0.25,0.25,1.0,0.4
35,poly,0,0.0,auto,0.5,0.25,1.0,0.4
36,rbf,0,0.0,auto,0.01,0.4444444444444444,0.6666666666666666,0.5333333333333333
37,rbf,0,0.0,auto,0.05,0.4444444444444444,0.6666666666666666,0.5333333333333333
38,rbf,0,0.0,auto,0.1,0.2222222222222222,0.3333333333333333,0.26666666666666666
39,rbf,0,0.0,auto,0.2,0.0,0.0,0.0
40,rbf,0,0.0,auto,0.25,0.3,0.5,0.375
41,rbf,0,0.0,auto,0.5,0.25,0.5,0.3333333333333333
42,sigmoid,0,0.0,auto,0.01,0.0,0.0,0.0
43,sigmoid,0,0.0,auto,0.05,0.0,0.0,0.0
44,sigmoid,0,0.0,auto,0.1,0.5,0.16666666666666666,0.25
45,sigmoid,0,0.0,auto,0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333
46,sigmoid,0,0.0,auto,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333
47,sigmoid,0,0.0,auto,0.5,0.2857142857142857,0.6666666666666666,0.4
48,linear,0,0.0,1e-06,0.01,0.2,0.5,0.2857142857142857
49,linear,0,0.0,1e-06,0.05,0.2857142857142857,0.6666666666666666,0.4
50,linear,0,0.0,1e-06,0.1,0.08333333333333333,0.16666666666666666,0.1111111111111111
51,linear,0,0.0,1e-06,0.2,0.125,0.3333333333333333,0.18181818181818182
52,linear,0,0.0,1e-06,0.25,0.23076923076923078,0.5,0.3157894736842105
53,linear,0,0.0,1e-06,0.5,0.23076923076923078,0.5,0.3157894736842105
54,poly,0,0.0,1e-06,0.01,0.25,1.0,0.4
55,poly,0,0.0,1e-06,0.05,0.25,1.0,0.4
56,poly,0,0.0,1e-06,0.1,0.25,1.0,0.4
57,poly,0,0.0,1e-06,0.2,0.25,1.0,0.4
58,poly,0,0.0,1e-06,0.25,0.25,1.0,0.4
59,poly,0,0.0,1e-06,0.5,0.25,1.0,0.4
60,rbf,0,0.0,1e-06,0.01,0.25,1.0,0.4
61,rbf,0,0.0,1e-06,0.05,0.21739130434782608,0.8333333333333334,0.3448275862068966
62,rbf,0,0.0,1e-06,0.1,0.3125,0.8333333333333334,0.45454545454545453
63,rbf,0,0.0,1e-06,0.2,0.29411764705882354,0.8333333333333334,0.43478260869565216
64,rbf,0,0.0,1e-06,0.25,0.0,0.0,0.0
65,rbf,0,0.0,1e-06,0.5,0.0,0.0,0.0
66,sigmoid,0,0.0,1e-06,0.01,0.22727272727272727,0.8333333333333334,0.35714285714285715
67,sigmoid,0,0.0,1e-06,0.05,0.3076923076923077,0.6666666666666666,0.42105263157894735
68,sigmoid,0,0.0,1e-06,0.1,0.2608695652173913,1.0,0.41379310344827586
69,sigmoid,0,0.0,1e-06,0.2,0.35714285714285715,0.8333333333333334,0.5
70,sigmoid,0,0.0,1e-06,0.25,0.4166666666666667,0.8333333333333334,0.5555555555555556
71,sigmoid,0,0.0,1e-06,0.5,0.15384615384615385,0.3333333333333333,0.21052631578947367
72,linear,0,0.0,0.0001,0.01,0.2,0.5,0.2857142857142857
73,linear,0,0.0,0.0001,0.05,0.2857142857142857,0.6666666666666666,0.4
74,linear,0,0.0,0.0001,0.1,0.08333333333333333,0.16666666666666666,0.1111111111111111
75,linear,0,0.0,0.0001,0.2,0.125,0.3333333333333333,0.18181818181818182
76,linear,0,0.0,0.0001,0.25,0.23076923076923078,0.5,0.3157894736842105
77,linear,0,0.0,0.0001,0.5,0.23076923076923078,0.5,0.3157894736842105
78,poly,0,0.0,0.0001,0.01,0.25,1.0,0.4
79,poly,0,0.0,0.0001,0.05,0.25,1.0,0.4
80,poly,0,0.0,0.0001,0.1,0.25,1.0,0.4
81,poly,0,0.0,0.0001,0.2,0.25,1.0,0.4
