,gamma,nu,precision,recall,f1
0,1e-06,0.01,0.25,1.0,0.4
1,1e-06,0.05,0.25,1.0,0.4
2,1e-06,0.1,0.25,0.8333333333333334,0.38461538461538464
3,1e-06,0.25,0.35714285714285715,0.8333333333333334,0.5
4,1e-06,0.5,0.5,0.3333333333333333,0.4
5,0.0001,0.01,0.5,0.3333333333333333,0.4
6,0.0001,0.05,0.5,0.3333333333333333,0.4
7,0.0001,0.1,0.5,0.3333333333333333,0.4
8,0.0001,0.25,0.4166666666666667,0.8333333333333334,0.5555555555555556
9,0.0001,0.5,0.35714285714285715,0.8333333333333334,0.5
10,0.001,0.01,0.5,0.3333333333333333,0.4
11,0.001,0.05,0.5,0.3333333333333333,0.4
12,0.001,0.1,0.5,0.3333333333333333,0.4
13,0.001,0.25,0.5555555555555556,0.8333333333333334,0.6666666666666666
14,0.001,0.5,0.3333333333333333,0.8333333333333334,0.47619047619047616
15,0.01,0.01,0.7142857142857143,0.8333333333333334,0.7692307692307693
16,0.01,0.05,0.8333333333333334,0.8333333333333334,0.8333333333333334
17,0.01,0.1,0.7142857142857143,0.8333333333333334,0.7692307692307693
18,0.01,0.25,0.45454545454545453,0.8333333333333334,0.5882352941176471
19,0.01,0.5,0.38461538461538464,0.8333333333333334,0.5263157894736842
20,0.1,0.01,0.4166666666666667,0.8333333333333334,0.5555555555555556
21,0.1,0.05,0.5,0.8333333333333334,0.625
22,0.1,0.1,0.45454545454545453,0.8333333333333334,0.5882352941176471
23,0.1,0.25,0.5,0.8333333333333334,0.625
24,0.1,0.5,0.35714285714285715,0.8333333333333334,0.5
25,1.0,0.01,0.46153846153846156,1.0,0.631578947368421
26,1.0,0.05,0.4,1.0,0.5714285714285714
27,1.0,0.1,0.375,1.0,0.5454545454545454
28,1.0,0.25,0.4,1.0,0.5714285714285714
29,1.0,0.5,0.35294117647058826,1.0,0.5217391304347826
