,kernel,degree,coef0,gamma,nu,precision,recall,f1
0,linear,0,0.0,scale,0.01,0.0,0.0,0.0
1,linear,0,0.0,scale,0.05,0.0,0.0,0.0
2,linear,0,0.0,scale,0.1,0.0,0.0,0.0
3,linear,0,0.0,scale,0.2,0.4166666666666667,0.8333333333333334,0.5555555555555556
4,linear,0,0.0,scale,0.25,0.0,0.0,0.0
5,linear,0,0.0,scale,0.5,0.42857142857142855,1.0,0.6
6,poly,0,0.0,scale,0.01,0.25,1.0,0.4
7,poly,0,0.0,scale,0.05,0.25,1.0,0.4
8,poly,0,0.0,scale,0.1,0.25,1.0,0.4
9,poly,0,0.0,scale,0.2,0.25,1.0,0.4
10,poly,0,0.0,scale,0.25,0.25,1.0,0.4
11,poly,0,0.0,scale,0.5,0.25,1.0,0.4
12,rbf,0,0.0,scale,0.01,0.6,0.5,0.5454545454545454
13,rbf,0,0.0,scale,0.05,0.5,0.5,0.5
14,rbf,0,0.0,scale,0.1,0.3333333333333333,0.3333333333333333,0.3333333333333333
15,rbf,0,0.0,scale,0.2,0.5,0.5,0.5
16,rbf,0,0.0,scale,0.25,0.2,0.16666666666666666,0.18181818181818182
17,rbf,0,0.0,scale,0.5,0.35714285714285715,0.8333333333333334,0.5
18,sigmoid,0,0.0,scale,0.01,0.0,0.0,0.0
19,sigmoid,0,0.0,scale,0.05,0.0,0.0,0.0
20,sigmoid,0,0.0,scale,0.1,0.3333333333333333,0.16666666666666666,0.2222222222222222
21,sigmoid,0,0.0,scale,0.2,0.2,0.16666666666666666,0.18181818181818182
22,sigmoid,0,0.0,scale,0.25,0.16666666666666666,0.16666666666666666,0.16666666666666666
23,sigmoid,0,0.0,scale,0.5,0.15384615384615385,0.3333333333333333,0.21052631578947367
24,linear,0,0.0,auto,0.01,0.0,0.0,0.0
25,linear,0,0.0,auto,0.05,0.0,0.0,0.0
26,linear,0,0.0,auto,0.1,0.0,0.0,0.0
27,linear,0,0.0,auto,0.2,0.4166666666666667,0.8333333333333334,0.5555555555555556
28,linear,0,0.0,auto,0.25,0.0,0.0,0.0
29,linear,0,0.0,auto,0.5,0.42857142857142855,1.0,0.6
30,poly,0,0.0,auto,0.01,0.25,1.0,0.4
31,poly,0,0.0,auto,0.05,0.25,1.0,0.4
32,poly,0,0.0,auto,0.1,0.25,1.0,0.4
33,poly,0,0.0,auto,0.2,0.25,1.0,0.4
34,poly,0,0.0,auto,0.25,0.25,1.0,0.4
35,poly,0,0.0,auto,0.5,0.25,1.0,0.4
36,rbf,0,0.0,auto,0.01,0.3,0.5,0.375
37,rbf,0,0.0,auto,0.05,0.5,0.3333333333333333,0.4
38,rbf,0,0.0,auto,0.1,0.5,0.6666666666666666,0.5714285714285714
39,rbf,0,0.0,auto,0.2,0.5,0.8333333333333334,0.625
40,rbf,0,0.0,auto,0.25,0.5714285714285714,0.6666666666666666,0.6153846153846154
41,rbf,0,0.0,auto,0.5,0.3333333333333333,0.6666666666666666,0.4444444444444444
42,sigmoid,0,0.0,auto,0.01,0.0,0.0,0.0
43,sigmoid,0,0.0,auto,0.05,0.0,0.0,0.0
44,sigmoid,0,0.0,auto,0.1,0.0,0.0,0.0
45,sigmoid,0,0.0,auto,0.2,0.0,0.0,0.0
46,sigmoid,0,0.0,auto,0.25,0.0,0.0,0.0
47,sigmoid,0,0.0,auto,0.5,0.08333333333333333,0.16666666666666666,0.1111111111111111
48,linear,0,0.0,1e-06,0.01,0.0,0.0,0.0
49,linear,0,0.0,1e-06,0.05,0.0,0.0,0.0
50,linear,0,0.0,1e-06,0.1,0.0,0.0,0.0
51,linear,0,0.0,1e-06,0.2,0.4166666666666667,0.8333333333333334,0.5555555555555556
52,linear,0,0.0,1e-06,0.25,0.0,0.0,0.0
53,linear,0,0.0,1e-06,0.5,0.42857142857142855,1.0,0.6
54,poly,0,0.0,1e-06,0.01,0.25,1.0,0.4
55,poly,0,0.0,1e-06,0.05,0.25,1.0,0.4
56,poly,0,0.0,1e-06,0.1,0.25,1.0,0.4
57,poly,0,0.0,1e-06,0.2,0.25,1.0,0.4
58,poly,0,0.0,1e-06,0.25,0.25,1.0,0.4
59,poly,0,0.0,1e-06,0.5,0.25,1.0,0.4
60,rbf,0,0.0,1e-06,0.01,0.25,1.0,0.4
61,rbf,0,0.0,1e-06,0.05,0.22727272727272727,0.8333333333333334,0.35714285714285715
62,rbf,0,0.0,1e-06,0.1,0.38461538461538464,0.8333333333333334,0.5263157894736842
63,rbf,0,0.0,1e-06,0.2,0.2777777777777778,0.8333333333333334,0.4166666666666667
64,rbf,0,0.0,1e-06,0.25,0.0,0.0,0.0
65,rbf,0,0.0,1e-06,0.5,0.0,0.0,0.0
66,sigmoid,0,0.0,1e-06,0.01,0.29411764705882354,0.8333333333333334,0.43478260869565216
67,sigmoid,0,0.0,1e-06,0.05,0.4,0.6666666666666666,0.5
68,sigmoid,0,0.0,1e-06,0.1,0.3333333333333333,1.0,0.5
69,sigmoid,0,0.0,1e-06,0.2,0.38461538461538464,0.8333333333333334,0.5263157894736842
70,sigmoid,0,0.0,1e-06,0.25,0.625,0.8333333333333334,0.7142857142857143
71,sigmoid,0,0.0,1e-06,0.5,0.15,0.5,0.23076923076923078
72,linear,0,0.0,0.0001,0.01,0.0,0.0,0.0
73,linear,0,0.0,0.0001,0.05,0.0,0.0,0.0
74,linear,0,0.0,0.0001,0.1,0.0,0.0,0.0
75,linear,0,0.0,0.0001,0.2,0.4166666666666667,0.8333333333333334,0.5555555555555556
76,linear,0,0.0,0.0001,0.25,0.0,0.0,0.0
77,linear,0,0.0,0.0001,0.5,0.42857142857142855,1.0,0.6
78,poly,0,0.0,0.0001,0.01,0.25,1.0,0.4
79,poly,0,0.0,0.0001,0.05,0.25,1.0,0.4
80,poly,0,0.0,0.0001,0.1,0.25,1.0,0.4
81,poly,0,0.0,0.0001,0.2,0.25,1.0,0.4
82,poly,0,0.0,0.0001,0.25,0.25,1.0,0.4
83,poly,0,0.0,0.0001,0.5,0.25,1.0,0.4
84,rbf,0,0.0,0.0001,0.01,0.0,0.0,0.0
85,rbf,0,0.0,0.0001,0.05,0.0,0.0,0.0
86,rbf,0,0.0,0.0001,0.1,0.3333333333333333,0.16666666666666666,0.2222222222222222
87,rbf,0,0.0,0.0001,0.2,0.2,0.16666666666666666,0.18181818181818182
88,rbf,0,0.0,0.0001,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333
89,rbf,0,0.0,0.0001,0.5,0.38461538461538464,0.8333333333333334,0.5263157894736842
90,sigmoid,0,0.0,0.0001,0.01,0.29411764705882354,0.8333333333333334,0.43478260869565216
91,sigmoid,0,0.0,0.0001,0.05,0.36363636363636365,0.6666666666666666,0.47058823529411764
92,sigmoid,0,0.0,0.0001,0.1,0.0,0.0,0.0
93,sigmoid,0,0.0,0.0001,0.2,0.2608695652173913,1.0,0.41379310344827586
94,sigmoid,0,0.0,0.0001,0.25,0.2608695652173913,1.0,0.41379310344827586
95,sigmoid,0,0.0,0.0001,0.5,0.0,0.0,0.0
96,linear,0,0.0,0.001,0.01,0.0,0.0,0.0
97,linear,0,0.0,0.001,0.05,0.0,0.0,0.0
98,linear,0,0.0,0.001,0.1,0.0,0.0,0.0
99,linear,0,0.0,0.001,0.2,0.4166666666666667,0.8333333333333334,0.5555555555555556
100,linear,0,0.0,0.001,0.25,0.0,0.0,0.0
101,linear,0,0.0,0.001,0.5,0.42857142857142855,1.0,0.6
102,poly,0,0.0,0.001,0.01,0.25,1.0,0.4
103,poly,0,0.0,0.001,0.05,0.25,1.0,0.4
104,poly,0,0.0,0.001,0.1,0.25,1.0,0.4
105,poly,0,0.0,0.001,0.2,0.25,1.0,0.4
106,poly,0,0.0,0.001,0.25,0.25,1.0,0.4
107,poly,0,0.0,0.001,0.5,0.25,1.0,0.4
108,rbf,0,0.0,0.001,0.01,0.3333333333333333,0.16666666666666666,0.2222222222222222
109,rbf,0,0.0,0.001,0.05,0.0,0.0,0.0
110,rbf,0,0.0,0.001,0.1,0.3333333333333333,0.16666666666666666,0.2222222222222222
111,rbf,0,0.0,0.001,0.2,0.4,0.3333333333333333,0.36363636363636365
112,rbf,0,0.0,0.001,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333
113,rbf,0,0.0,0.001,0.5,0.38461538461538464,0.8333333333333334,0.5263157894736842
114,sigmoid,0,0.0,0.001,0.01,0.1,0.16666666666666666,0.125
115,sigmoid,0,0.0,0.001,0.05,0.09090909090909091,0.16666666666666666,0.11764705882352941
116,sigmoid,0,0.0,0.001,0.1,0.0,0.0,0.0
117,sigmoid,0,0.0,0.001,0.2,0.2608695652173913,1.0,0.41379310344827586
118,sigmoid,0,0.0,0.001,0.25,0.375,1.0,0.5454545454545454
119,sigmoid,0,0.0,0.001,0.5,0.0,0.0,0.0
120,linear,0,0.0,0.01,0.01,0.0,0.0,0.0
121,linear,0,0.0,0.01,0.05,0.0,0.0,0.0
