,params,tp,fp,tn,fn,incorrect_preds,precision,recall,f1
0,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'splitter': 'best'}",5,1,17,1,"{'eo': 'fn', 'nl': 'fp'}",0.8333333333333334,0.8333333333333334,0.8333333333333334
1,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'splitter': 'random'}",2,3,15,4,"{'eo': 'fn', 'vo': 'fn', 'af': 'fp', 'lfn': 'fn', 'tl': 'fp', 'es': 'fp', 'avk': 'fn'}",0.4,0.3333333333333333,0.3636363636363636
2,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'splitter': 'best'}",5,1,17,1,"{'eo': 'fn', 'nl': 'fp'}",0.8333333333333334,0.8333333333333334,0.8333333333333334
3,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'splitter': 'random'}",4,3,15,2,"{'eo': 'fn', 'vo': 'fn', 'af': 'fp', 'tl': 'fp', 'es': 'fp'}",0.5714285714285714,0.6666666666666666,0.6153846153846153
4,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 7, 'splitter': 'best'}",5,1,17,1,"{'eo': 'fn', 'nl': 'fp'}",0.8333333333333334,0.8333333333333334,0.8333333333333334
5,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 7, 'splitter': 'random'}",4,3,15,2,"{'eo': 'fn', 'vo': 'fn', 'af': 'fp', 'tl': 'fp', 'es': 'fp'}",0.5714285714285714,0.6666666666666666,0.6153846153846153
6,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'splitter': 'best'}",5,4,14,1,"{'eo': 'fn', 'nl': 'fp', 'af': 'fp', 'tl': 'fp', 'es': 'fp'}",0.5555555555555556,0.8333333333333334,0.6666666666666667
7,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'splitter': 'random'}",4,3,15,2,"{'eo': 'fn', 'af': 'fp', 'ia': 'fn', 'tl': 'fp', 'es': 'fp'}",0.5714285714285714,0.6666666666666666,0.6153846153846153
8,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'splitter': 'best'}",5,1,17,1,"{'eo': 'fn', 'nl': 'fp'}",0.8333333333333334,0.8333333333333334,0.8333333333333334
9,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'splitter': 'random'}",5,3,15,1,"{'eo': 'fn', 'af': 'fp', 'tl': 'fp', 'es': 'fp'}",0.625,0.8333333333333334,0.7142857142857143
